epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,500.625,1.47387,1.56064,1.28772,0.00046,0.13889,0.00031,8e-05,3.97815,451608,202.965,0.00045009,0.00045009,0.00045009
2,1089.6,1.24577,0.98215,1.20536,0.00053,0.15873,0.00035,9e-05,4.07295,1.07889e+06,7798.23,0.000871466,0.000871466,0.000871466
3,1606.72,1.29855,0.96652,1.22034,0.00075,0.05884,0.00039,0.00011,4.8236,1677.4,39.6672,0.00124663,0.00124663,0.00124663
4,2114.95,1.28401,0.91452,1.20069,0.01288,0.36954,0.00871,0.00378,2.50726,1679.37,3.71912,0.00141945,0.00141945,0.00141945
5,2616.72,1.27202,0.87516,1.16235,0.42729,0.62134,0.3863,0.25992,1.36962,111.38,1.43317,0.00133693,0.00133693,0.00133693
6,3157.14,1.18992,0.8017,1.15488,0.03137,0.47235,0.02336,0.01438,1.63451,136.605,1.66491,0.00125442,0.00125442,0.00125442
7,3690.83,1.15571,0.77875,1.12717,0.04257,0.5315,0.02521,0.01605,2.12063,219.726,2.1252,0.0011719,0.0011719,0.0011719
8,4219.21,1.1121,0.7202,1.09676,0.89588,0.83408,0.90296,0.63401,1.05502,0.94276,1.11109,0.00108938,0.00108938,0.00108938
9,4749.91,1.0788,0.69776,1.10801,0.93756,0.89212,0.93698,0.65137,1.08182,0.65707,1.11795,0.00100687,0.00100687,0.00100687
10,5259.84,1.07187,0.69239,1.08279,0.92672,0.87795,0.90824,0.61711,1.12501,0.72719,1.14902,0.000924352,0.000924352,0.000924352
11,5765.94,1.03038,0.67159,1.12965,0.95789,0.92489,0.93141,0.6812,0.98986,0.61542,1.07231,0.000841835,0.000841835,0.000841835
12,6252.37,0.98701,0.6438,1.1224,0.9547,0.89562,0.94768,0.70927,0.89237,0.63654,1.02293,0.000759318,0.000759318,0.000759318
13,6765.58,0.96605,0.5787,1.10843,0.95601,0.94097,0.95192,0.70286,0.92295,0.55343,1.01931,0.000676802,0.000676802,0.000676802
14,7306.46,0.94804,0.56696,1.09407,0.95139,0.94051,0.94933,0.72098,0.85735,0.55401,1.0021,0.000594286,0.000594286,0.000594286
15,7804.3,0.94336,0.54557,1.0786,0.96717,0.94085,0.94928,0.73425,0.84809,0.51697,0.99121,0.000511769,0.000511769,0.000511769
16,8286.24,0.89143,0.53023,1.04391,0.95323,0.96069,0.95044,0.71739,0.89635,0.49098,1.01068,0.000429253,0.000429253,0.000429253
17,8806.76,0.87107,0.51233,1.05164,0.96223,0.95281,0.9548,0.74712,0.79737,0.46675,0.96884,0.000346736,0.000346736,0.000346736
18,9295.15,0.87537,0.51523,1.0438,0.96521,0.95678,0.95722,0.76285,0.79274,0.45685,0.95596,0.00026422,0.00026422,0.00026422
19,9861.91,0.8324,0.49002,1.02019,0.96676,0.96045,0.95828,0.77648,0.76514,0.42997,0.9486,0.000181703,0.000181703,0.000181703
20,10376.6,0.81102,0.46719,1.01859,0.96338,0.96312,0.95856,0.76933,0.77245,0.4251,0.94315,9.91865e-05,9.91865e-05,9.91865e-05
